station_id,stationname,date,daytype,rides
40780,Central Park,1/4/2001,W,411
40790,Monroe/Dearborn,1/4/2001,W,5604
40800,Sedgwick,1/4/2001,W,2047
40810,Medical Center,1/4/2001,W,1638
40820,Rosemont,1/4/2001,W,5003
40830,18th,1/4/2001,W,884
40840,South Boulevard,1/4/2001,W,827
40850,Library,1/4/2001,W,2223
40870,Francisco,1/4/2001,W,1026
40880,Thorndale,1/4/2001,W,2599
40890,O'Hare Airport,1/4/2001,W,8280
40900,Howard,1/4/2001,W,5876
40910,63rd-Dan Ryan,1/4/2001,W,3371
40920,Pulaski-Forest Park,1/4/2001,W,1058
40930,Midway Airport,1/4/2001,W,7257
40940,Halsted/63rd,1/4/2001,W,659
40960,Pulaski-Orange,1/4/2001,W,3204
40970,Cicero-Forest Park,1/4/2001,W,918
40980,Harlem-Forest Park,1/4/2001,W,773
40990,69th,1/4/2001,W,6206
41000,Cermak-Chinatown,1/4/2001,W,2168
41010,Rockwell,1/4/2001,W,1166
41020,Logan Square,1/4/2001,W,4405
41030,Polk,1/4/2001,W,2302
41040,Kedzie-Cermak,1/4/2001,W,366
41050,Linden,1/4/2001,W,1113
41060,Ashland-Orange,1/4/2001,W,1145
41070,Kedzie-Lake,1/4/2001,W,967
41080,47th-South Elevated,1/4/2001,W,1165
41090,Monroe/State,1/4/2001,W,7227
41120,35-Bronzeville-IIT,1/4/2001,W,1389
41130,Halsted-Orange,1/4/2001,W,2074
41140,King Drive,1/4/2001,W,705
41150,Kedzie-Midway,1/4/2001,W,2710
41160,Clinton-Lake,1/4/2001,W,1791
41170,Garfield-Dan Ryan,1/4/2001,W,4185
41180,Kedzie-Brown,1/4/2001,W,1379
41190,Jarvis,1/4/2001,W,1390
41200,Argyle,1/4/2001,W,2641
41210,Wellington,1/4/2001,W,2548
41220,Fullerton,1/4/2001,W,7919
41230,47th-Dan Ryan,1/4/2001,W,2130
41240,Addison-O'Hare,1/4/2001,W,2117
41250,Central-Evanston,1/4/2001,W,886
41260,Austin-Lake,1/4/2001,W,1951
41270,43rd,1/4/2001,W,695
41280,Jefferson Park,1/4/2001,W,6385
41290,Kimball,1/4/2001,W,3519
41300,Loyola,1/4/2001,W,3963
41310,Paulina,1/4/2001,W,1925
41320,Belmont-North Main,1/4/2001,W,8897
41330,Montrose-O'Hare,1/4/2001,W,1859
41340,LaSalle,1/4/2001,W,1991
41350,Oak Park-Lake,1/4/2001,W,1429
41360,California-Lake,1/4/2001,W,694
41380,Bryn Mawr,1/4/2001,W,4113
41400,Roosevelt,1/4/2001,W,5270
41410,Chicago/Milwaukee,1/4/2001,W,1962
41420,Addison-North Main,1/4/2001,W,4607
41430,87th,1/4/2001,W,5111
41440,Addison-Brown,1/4/2001,W,1717
41450,Chicago/State,1/4/2001,W,11883
41460,Irving Park-Brown,1/4/2001,W,2246
41480,Western-Brown,1/4/2001,W,3398
41490,Harrison,1/4/2001,W,2531
41500,Montrose-Brown,1/4/2001,W,1905
41660,Lake/State,1/4/2001,W,12936
40010,Austin-Forest Park,1/5/2001,W,1465
40020,Harlem-Lake,1/5/2001,W,3357
40030,Pulaski-Lake,1/5/2001,W,1453
